global_step=82315, episodic_return=[-196.]
global_step=82464, episodic_return=[-148.]
global_step=82724, episodic_return=[-259.]
global_step=82867, episodic_return=[-142.]
global_step=83066, episodic_return=[-198.]
global_step=83300, episodic_return=[-233.]
global_step=83574, episodic_return=[-273.]
global_step=83726, episodic_return=[-151.]
global_step=83949, episodic_return=[-222.]
global_step=84176, episodic_return=[-226.]
global_step=84405, episodic_return=[-228.]
global_step=84547, episodic_return=[-141.]
global_step=84728, episodic_return=[-180.]
global_step=84994, episodic_return=[-265.]
global_step=85157, episodic_return=[-162.]
global_step=85278, episodic_return=[-120.]
global_step=85475, episodic_return=[-196.]
global_step=85728, episodic_return=[-252.]
global_step=85966, episodic_return=[-237.]
global_step=86097, episodic_return=[-130.]
global_step=86357, episodic_return=[-259.]
global_step=86548, episodic_return=[-190.]
global_step=86782, episodic_return=[-233.]
global_step=87110, episodic_return=[-327.]
global_step=87361, episodic_return=[-250.]
global_step=87581, episodic_return=[-219.]
global_step=87827, episodic_return=[-245.]
global_step=88127, episodic_return=[-299.]
global_step=88333, episodic_return=[-205.]
global_step=88550, episodic_return=[-216.]
global_step=88720, episodic_return=[-169.]
global_step=89099, episodic_return=[-378.]
global_step=89332, episodic_return=[-232.]
global_step=89522, episodic_return=[-189.]
global_step=89797, episodic_return=[-274.]
global_step=90037, episodic_return=[-239.]
global_step=90232, episodic_return=[-194.]
global_step=90525, episodic_return=[-292.]
global_step=90694, episodic_return=[-168.]
global_step=90888, episodic_return=[-193.]
global_step=91082, episodic_return=[-193.]
global_step=91276, episodic_return=[-193.]
global_step=91495, episodic_return=[-218.]
global_step=91675, episodic_return=[-179.]
global_step=91852, episodic_return=[-176.]
global_step=92040, episodic_return=[-187.]
global_step=92240, episodic_return=[-199.]
global_step=92396, episodic_return=[-155.]
global_step=92678, episodic_return=[-281.]
global_step=92864, episodic_return=[-185.]
global_step=93104, episodic_return=[-239.]
global_step=93351, episodic_return=[-246.]
global_step=93521, episodic_return=[-169.]
global_step=93677, episodic_return=[-155.]
global_step=93882, episodic_return=[-204.]
global_step=94121, episodic_return=[-238.]
global_step=94270, episodic_return=[-148.]
global_step=94453, episodic_return=[-182.]
global_step=94668, episodic_return=[-214.]
global_step=94872, episodic_return=[-203.]
global_step=95112, episodic_return=[-239.]
global_step=95312, episodic_return=[-199.]
global_step=95459, episodic_return=[-146.]
global_step=95718, episodic_return=[-258.]
global_step=95897, episodic_return=[-178.]
global_step=96073, episodic_return=[-175.]
global_step=96287, episodic_return=[-213.]
global_step=96439, episodic_return=[-151.]
global_step=96651, episodic_return=[-211.]
global_step=96844, episodic_return=[-192.]
global_step=97176, episodic_return=[-331.]
global_step=97390, episodic_return=[-213.]
global_step=97556, episodic_return=[-165.]
global_step=97802, episodic_return=[-245.]
global_step=98007, episodic_return=[-204.]
global_step=98156, episodic_return=[-148.]
global_step=98268, episodic_return=[-111.]
global_step=98405, episodic_return=[-136.]
global_step=98573, episodic_return=[-167.]
global_step=98737, episodic_return=[-163.]
global_step=98960, episodic_return=[-222.]
global_step=99159, episodic_return=[-198.]
global_step=99346, episodic_return=[-186.]
global_step=99489, episodic_return=[-142.]
global_step=99670, episodic_return=[-180.]
global_step=99870, episodic_return=[-199.]
global_step=100036, episodic_return=[-165.]
global_step=100296, episodic_return=[-259.]
global_step=100498, episodic_return=[-201.]
global_step=100688, episodic_return=[-189.]
global_step=100894, episodic_return=[-205.]
global_step=101142, episodic_return=[-247.]
global_step=101368, episodic_return=[-225.]
global_step=101596, episodic_return=[-227.]
global_step=101790, episodic_return=[-193.]
global_step=101947, episodic_return=[-156.]
global_step=102142, episodic_return=[-194.]
global_step=102273, episodic_return=[-130.]
global_step=102395, episodic_return=[-121.]
global_step=102565, episodic_return=[-169.]
global_step=102801, episodic_return=[-235.]
global_step=102933, episodic_return=[-131.]
global_step=103091, episodic_return=[-157.]
global_step=103304, episodic_return=[-212.]
global_step=103452, episodic_return=[-147.]
global_step=103579, episodic_return=[-126.]
global_step=103738, episodic_return=[-158.]
global_step=103882, episodic_return=[-143.]
global_step=104051, episodic_return=[-168.]
global_step=104261, episodic_return=[-209.]
global_step=104412, episodic_return=[-150.]
global_step=104596, episodic_return=[-183.]
global_step=104767, episodic_return=[-170.]
global_step=105008, episodic_return=[-240.]
global_step=105182, episodic_return=[-173.]
global_step=105337, episodic_return=[-154.]
global_step=105554, episodic_return=[-216.]
global_step=105726, episodic_return=[-171.]
global_step=105911, episodic_return=[-184.]
global_step=106115, episodic_return=[-203.]
global_step=106387, episodic_return=[-271.]
global_step=106511, episodic_return=[-123.]
global_step=106745, episodic_return=[-233.]
global_step=106952, episodic_return=[-206.]
global_step=107214, episodic_return=[-261.]
global_step=107377, episodic_return=[-162.]
global_step=107575, episodic_return=[-197.]
global_step=107785, episodic_return=[-209.]
global_step=107949, episodic_return=[-163.]
global_step=108449, episodic_return=[-500.]
global_step=108600, episodic_return=[-150.]
global_step=108768, episodic_return=[-167.]
global_step=108913, episodic_return=[-144.]
global_step=109152, episodic_return=[-238.]
global_step=109306, episodic_return=[-153.]
global_step=109437, episodic_return=[-130.]
global_step=109634, episodic_return=[-196.]
global_step=109815, episodic_return=[-180.]
global_step=110011, episodic_return=[-195.]
global_step=110172, episodic_return=[-160.]
global_step=110349, episodic_return=[-176.]
global_step=110488, episodic_return=[-138.]
global_step=110659, episodic_return=[-170.]
global_step=110771, episodic_return=[-111.]
global_step=111020, episodic_return=[-248.]
global_step=111143, episodic_return=[-122.]
global_step=111326, episodic_return=[-182.]
global_step=111464, episodic_return=[-137.]
global_step=111640, episodic_return=[-175.]
global_step=111765, episodic_return=[-124.]
global_step=111896, episodic_return=[-130.]
global_step=112054, episodic_return=[-157.]
global_step=112246, episodic_return=[-191.]
global_step=112372, episodic_return=[-125.]
global_step=112537, episodic_return=[-164.]
global_step=112724, episodic_return=[-186.]
global_step=112926, episodic_return=[-201.]
global_step=113110, episodic_return=[-183.]
global_step=113335, episodic_return=[-224.]
global_step=113809, episodic_return=[-473.]
global_step=113968, episodic_return=[-158.]
global_step=114107, episodic_return=[-138.]
global_step=114607, episodic_return=[-500.]
global_step=114783, episodic_return=[-175.]
global_step=114916, episodic_return=[-132.]
global_step=115067, episodic_return=[-150.]
global_step=115191, episodic_return=[-123.]
global_step=115339, episodic_return=[-147.]
global_step=115494, episodic_return=[-154.]
global_step=115663, episodic_return=[-168.]
global_step=115800, episodic_return=[-136.]
global_step=115947, episodic_return=[-146.]
global_step=116101, episodic_return=[-153.]
global_step=116242, episodic_return=[-140.]
global_step=116474, episodic_return=[-231.]
global_step=116639, episodic_return=[-164.]
global_step=116783, episodic_return=[-143.]
global_step=116892, episodic_return=[-108.]
global_step=117057, episodic_return=[-164.]
global_step=117173, episodic_return=[-115.]
global_step=117407, episodic_return=[-233.]
global_step=117603, episodic_return=[-195.]
global_step=117775, episodic_return=[-171.]
global_step=117932, episodic_return=[-156.]
global_step=118115, episodic_return=[-182.]
global_step=118241, episodic_return=[-125.]
global_step=118364, episodic_return=[-122.]
global_step=118507, episodic_return=[-142.]
global_step=118645, episodic_return=[-137.]
global_step=118752, episodic_return=[-106.]
global_step=118931, episodic_return=[-178.]
global_step=119072, episodic_return=[-140.]
global_step=119195, episodic_return=[-122.]
global_step=119434, episodic_return=[-238.]
global_step=119601, episodic_return=[-166.]
global_step=119788, episodic_return=[-186.]
global_step=119967, episodic_return=[-178.]
global_step=120101, episodic_return=[-133.]
global_step=120601, episodic_return=[-500.]
global_step=120789, episodic_return=[-187.]
global_step=120973, episodic_return=[-183.]
global_step=121163, episodic_return=[-189.]
global_step=121353, episodic_return=[-189.]
global_step=121497, episodic_return=[-143.]
global_step=121632, episodic_return=[-134.]
global_step=121746, episodic_return=[-113.]
global_step=121890, episodic_return=[-143.]
global_step=122025, episodic_return=[-134.]
global_step=122187, episodic_return=[-161.]
global_step=122319, episodic_return=[-131.]
global_step=122490, episodic_return=[-170.]
global_step=122636, episodic_return=[-145.]
global_step=122791, episodic_return=[-154.]
global_step=122962, episodic_return=[-170.]
global_step=123099, episodic_return=[-136.]
global_step=123275, episodic_return=[-175.]
global_step=123378, episodic_return=[-102.]
global_step=123523, episodic_return=[-144.]
global_step=123746, episodic_return=[-222.]
global_step=123904, episodic_return=[-157.]
global_step=124291, episodic_return=[-386.]
global_step=124478, episodic_return=[-186.]
global_step=124604, episodic_return=[-125.]
global_step=124753, episodic_return=[-148.]
global_step=124890, episodic_return=[-136.]
global_step=125019, episodic_return=[-128.]
global_step=125179, episodic_return=[-159.]
global_step=125370, episodic_return=[-190.]
global_step=125552, episodic_return=[-181.]
global_step=125754, episodic_return=[-201.]
global_step=125905, episodic_return=[-150.]
global_step=126091, episodic_return=[-185.]
global_step=126264, episodic_return=[-172.]
global_step=126396, episodic_return=[-131.]
global_step=126577, episodic_return=[-180.]
global_step=126699, episodic_return=[-121.]
global_step=126820, episodic_return=[-120.]
global_step=126969, episodic_return=[-148.]
global_step=127176, episodic_return=[-206.]
global_step=127309, episodic_return=[-132.]
global_step=127459, episodic_return=[-149.]
global_step=127614, episodic_return=[-154.]
global_step=127787, episodic_return=[-172.]
global_step=127905, episodic_return=[-117.]
global_step=128078, episodic_return=[-172.]
global_step=128246, episodic_return=[-167.]
global_step=128370, episodic_return=[-123.]
global_step=128524, episodic_return=[-153.]
global_step=128661, episodic_return=[-136.]
global_step=128839, episodic_return=[-177.]
global_step=128987, episodic_return=[-147.]
global_step=129159, episodic_return=[-171.]
global_step=129309, episodic_return=[-149.]
global_step=129473, episodic_return=[-163.]
global_step=129621, episodic_return=[-147.]
global_step=129788, episodic_return=[-166.]
global_step=129918, episodic_return=[-129.]
global_step=130057, episodic_return=[-138.]
global_step=130200, episodic_return=[-142.]
global_step=130443, episodic_return=[-242.]
global_step=130943, episodic_return=[-500.]
global_step=131120, episodic_return=[-176.]
global_step=131342, episodic_return=[-221.]
global_step=131432, episodic_return=[-89.]
global_step=131588, episodic_return=[-155.]
global_step=131741, episodic_return=[-152.]
global_step=131919, episodic_return=[-177.]
global_step=132073, episodic_return=[-153.]
global_step=132233, episodic_return=[-159.]
global_step=132372, episodic_return=[-138.]
global_step=132506, episodic_return=[-133.]
global_step=132637, episodic_return=[-130.]
global_step=132779, episodic_return=[-141.]
global_step=132921, episodic_return=[-141.]
global_step=133081, episodic_return=[-159.]
global_step=133193, episodic_return=[-111.]
global_step=133362, episodic_return=[-168.]
global_step=133518, episodic_return=[-155.]
global_step=133660, episodic_return=[-141.]
global_step=133803, episodic_return=[-142.]
global_step=133934, episodic_return=[-130.]
global_step=134073, episodic_return=[-138.]
global_step=134236, episodic_return=[-162.]
global_step=134474, episodic_return=[-237.]
global_step=134614, episodic_return=[-139.]
global_step=134800, episodic_return=[-185.]
global_step=134940, episodic_return=[-139.]
global_step=135067, episodic_return=[-126.]
global_step=135277, episodic_return=[-209.]
global_step=135420, episodic_return=[-142.]
global_step=135543, episodic_return=[-122.]
global_step=135674, episodic_return=[-130.]
global_step=135814, episodic_return=[-139.]
global_step=135945, episodic_return=[-130.]
global_step=136064, episodic_return=[-118.]
global_step=136218, episodic_return=[-153.]
global_step=136360, episodic_return=[-141.]
global_step=136473, episodic_return=[-112.]
global_step=136603, episodic_return=[-129.]
global_step=136726, episodic_return=[-122.]
global_step=136902, episodic_return=[-175.]
global_step=137073, episodic_return=[-170.]
global_step=137175, episodic_return=[-101.]
global_step=137326, episodic_return=[-150.]
global_step=137459, episodic_return=[-132.]
global_step=137619, episodic_return=[-159.]
global_step=137751, episodic_return=[-131.]
global_step=137882, episodic_return=[-130.]
global_step=137995, episodic_return=[-112.]
global_step=138351, episodic_return=[-355.]
global_step=138433, episodic_return=[-81.]
global_step=138553, episodic_return=[-119.]
global_step=138709, episodic_return=[-155.]
global_step=138833, episodic_return=[-123.]
global_step=139003, episodic_return=[-169.]
global_step=139133, episodic_return=[-129.]
global_step=139276, episodic_return=[-142.]
global_step=139391, episodic_return=[-114.]
global_step=139606, episodic_return=[-214.]
global_step=139777, episodic_return=[-170.]
global_step=139917, episodic_return=[-139.]
global_step=140034, episodic_return=[-116.]
global_step=140196, episodic_return=[-161.]
global_step=140308, episodic_return=[-111.]
global_step=140427, episodic_return=[-118.]
global_step=140522, episodic_return=[-94.]
global_step=140691, episodic_return=[-168.]
